artwork_id,title,artist_id,display_source,category,year,medium,width_cm,height_cm,orientation,status_original,original_price_eur,gelato_profile,gelato_material,gelato_finish,gelato_size_candidates_cm,preferred_upload_path_abs,public_full_path_abs,shopify_handle,shopify_collection_url,notes
canvas-small-raus-aus-dem-dorf,raus aus dem dorf,felix,generated_catalog,canvas_small,2021,,50,40,landscape,available,400.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/raus_aus_dem_dorf.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-raus-aus-dem-dorf/full.webp,,,
canvas-small-swanestirn,swanestirn,felix,generated_catalog,canvas_small,2021,,30,20,landscape,available,400.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/swanestirn.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-swanestirn/full.webp,,,
canvas-small-was-fuer-benz,was Für Benz,felix,generated_catalog,canvas_small,2023,,50,60,portrait,available,1200.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/wasFürBenz.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-was-fuer-benz/full.webp,,,
canvas-small-wohin,Wohin?,felix,generated_catalog,canvas_small,2023,,50,60,portrait,available,840.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Wohin?50x60.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-wohin/full.webp,,,
canvas-small-ziellos-auf-schienen,Ziellos Auf Schienen,felix,generated_catalog,canvas_small,2022,,50,70,portrait,available,600.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/ZiellosAufSchienen.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-ziellos-auf-schienen/full.webp,,,
canvas-small-zittern-im-zwielicht,Zittern im zwielicht,felix,generated_catalog,canvas_small,2022,,60,75,portrait,available,750.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Zittern im zwielicht 60x75.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-zittern-im-zwielicht/full.webp,,,
luca-gelbes-cover,Gelbes Cover,luca,artist_pack:luca,paper,2025,mixed media auf Papier,41,59,portrait,available,600.00,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/01_Gelbes_Cover.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/01_Gelbes_Cover.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-schmales-gesicht-auf-blau,Schmales Gesicht auf blau,luca,artist_pack:luca,paper,2025,Acryl auf Papier,60,75,portrait,available,675.00,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/02_Schmales_Gesicht_auf_blau.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/02_Schmales_Gesicht_auf_blau.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-figuren-in-der-masse,Figuren in der Masse,luca,artist_pack:luca,paper,2025,Acryl auf Papier,59,99,portrait,available,630.00,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/03_Figuren_in_der_Masse.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/03_Figuren_in_der_Masse.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-expressreihe-1,Expressreihe 1,luca,artist_pack:luca,paper,2026,Acryl auf Papier,30,38,portrait,available,350.00,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/05_Expressreihe_1.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/05_Expressreihe_1.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-expressreihe-2,Expressreihe 2,luca,artist_pack:luca,paper,2026,Acryl auf Papier,30,38,portrait,available,350.00,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/06_Expressreihe_2.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/06_Expressreihe_2.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-homunkulus,Homunkulus,luca,artist_pack:luca,paper,2026,Acryl auf Papier,60,75,portrait,available,620.00,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/07_Homunkulus.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/07_Homunkulus.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-wiederkehr,Wiederkehr,luca,artist_pack:luca,paper,2026,Acryl auf Papier,30,38,portrait,available,350.00,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/08_Wiederkehr.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/08_Wiederkehr.jpg.jpg,,,original_source_missing_or_not_catalogued
