artwork_id,title,artist_id,display_source,category,year,medium,width_cm,height_cm,orientation,aspect_ratio,status_original,original_price_eur,is_artist_photo,create_print_product,manual_review_required,product_mode,gelato_profile,gelato_material,gelato_finish,gelato_size_candidates_cm,source_image_path,source_image_path_abs,source_image_exists,public_full_path,public_full_path_abs,public_texture_path,public_thumb_path,preferred_upload_path_abs,shopify_handle,shopify_collection_url,notes
canvas-small-der-rote-luftballon,der rote luftballon,felix,generated_catalog,canvas_small,2022,,40,50,portrait,0.8000,available,600.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände klein/der_rote_luftballon.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/der_rote_luftballon.jpg,yes,/artworks/canvas-small-der-rote-luftballon/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-der-rote-luftballon/full.webp,/artworks/canvas-small-der-rote-luftballon/texture.webp,/artworks/canvas-small-der-rote-luftballon/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/der_rote_luftballon.jpg,,,
canvas-small-gefangen-im-geist,gefangen im Geist,felix,generated_catalog,canvas_small,2023,,50,50,square,1.0000,available,700.00,no,yes,no,original_available_plus_prints,square_standard,canvas,none,20x20|30x30|50x50,../kunst/Bilder/for sale/leihnwände klein/gefangen im Geist.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/gefangen im Geist.jpg,yes,/artworks/canvas-small-gefangen-im-geist/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-gefangen-im-geist/full.webp,/artworks/canvas-small-gefangen-im-geist/texture.webp,/artworks/canvas-small-gefangen-im-geist/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/gefangen im Geist.jpg,,,
canvas-small-haltfest-renn-weg,haltfest Renn Weg,felix,generated_catalog,canvas_small,2022,,40,50,portrait,0.8000,available,620.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände klein/haltfestRennWeg40x50.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/haltfestRennWeg40x50.jpg,yes,/artworks/canvas-small-haltfest-renn-weg/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-haltfest-renn-weg/full.webp,/artworks/canvas-small-haltfest-renn-weg/texture.webp,/artworks/canvas-small-haltfest-renn-weg/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/haltfestRennWeg40x50.jpg,,,
canvas-small-hedonistische-helden,Hedonistische Helden,felix,generated_catalog,canvas_small,2022,,70,50,landscape,1.4000,not_available,,no,yes,no,prints_only_original_sold,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände klein/Hedonistische Helden.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Hedonistische Helden.jpg,yes,/artworks/canvas-small-hedonistische-helden/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-hedonistische-helden/full.webp,/artworks/canvas-small-hedonistische-helden/texture.webp,/artworks/canvas-small-hedonistische-helden/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Hedonistische Helden.jpg,,,
canvas-small-humania-i-ijpg,Humania I Ijpg,felix,generated_catalog,canvas_small,2021,,68,48,landscape,1.4167,available,1400.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände klein/HumaniaIIjpg.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/HumaniaIIjpg.jpg,yes,/artworks/canvas-small-humania-i-ijpg/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-humania-i-ijpg/full.webp,/artworks/canvas-small-humania-i-ijpg/texture.webp,/artworks/canvas-small-humania-i-ijpg/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/HumaniaIIjpg.jpg,,,
canvas-small-raus-aus-dem-dorf,raus aus dem dorf,felix,generated_catalog,canvas_small,2021,,50,40,landscape,1.2500,available,400.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände klein/raus_aus_dem_dorf.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/raus_aus_dem_dorf.jpg,yes,/artworks/canvas-small-raus-aus-dem-dorf/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-raus-aus-dem-dorf/full.webp,/artworks/canvas-small-raus-aus-dem-dorf/texture.webp,/artworks/canvas-small-raus-aus-dem-dorf/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/raus_aus_dem_dorf.jpg,,,
canvas-small-swanestirn,swanestirn,felix,generated_catalog,canvas_small,2021,,30,20,landscape,1.5000,available,400.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände klein/swanestirn.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/swanestirn.jpg,yes,/artworks/canvas-small-swanestirn/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-swanestirn/full.webp,/artworks/canvas-small-swanestirn/texture.webp,/artworks/canvas-small-swanestirn/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/swanestirn.jpg,,,
canvas-small-was-fuer-benz,was Für Benz,felix,generated_catalog,canvas_small,2023,,50,60,portrait,0.8333,available,1200.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände klein/wasFürBenz.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/wasFürBenz.jpg,yes,/artworks/canvas-small-was-fuer-benz/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-was-fuer-benz/full.webp,/artworks/canvas-small-was-fuer-benz/texture.webp,/artworks/canvas-small-was-fuer-benz/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/wasFürBenz.jpg,,,
canvas-small-wohin,Wohin?,felix,generated_catalog,canvas_small,2023,,50,60,portrait,0.8333,available,840.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände klein/Wohin?50x60.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Wohin?50x60.jpg,yes,/artworks/canvas-small-wohin/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-wohin/full.webp,/artworks/canvas-small-wohin/texture.webp,/artworks/canvas-small-wohin/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Wohin?50x60.jpg,,,
canvas-small-ziellos-auf-schienen,Ziellos Auf Schienen,felix,generated_catalog,canvas_small,2022,,50,70,portrait,0.7143,available,600.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände klein/ZiellosAufSchienen.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/ZiellosAufSchienen.jpg,yes,/artworks/canvas-small-ziellos-auf-schienen/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-ziellos-auf-schienen/full.webp,/artworks/canvas-small-ziellos-auf-schienen/texture.webp,/artworks/canvas-small-ziellos-auf-schienen/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/ZiellosAufSchienen.jpg,,,
